lat,lon,T_CRU_20100131
-71.5,41.5,
32.5,70.5,11.3
-82.5,51.5,
54.5,-118.5,-12.3498
-14.5,133.5,28.8001
-15.5,15.5,23.8255
70.5,24.5,-10.6
0.5,19.5,25.09971
60.5,-148.5,-11.40037
-72.5,44.5,
-74.5,17.5,
77.5,-56.5,-29.0003
74.5,97.5,-29.475
-77.5,-145.5,
67.5,170.5,-35.25
58.5,-105.5,-22.5254
-83.5,127.5,
-87.5,51.5,
12.5,12.5,24.3498
32.5,-94.5,8.225
38.5,-82.5,-1.975
-74.5,83.5,
41.5,123.5,-10.6501
25.5,89.5,19.6498
36.5,67.5,3.1
-87.5,76.5,
65.5,123.5,-32.9998
60.5,63.5,-18.35043
41.5,-77.5,-8.1247
-7.5,111.5,26.57486
68.5,24.5,-11.7998
-68.5,53.5,
18.5,77.5,24.5253
-86.5,100.5,
22.5,99.5,13.6999
-29.5,152.5,22.2502
31.5,50.5,0.85
-79.5,-136.5,
67.5,105.5,-29.525
34.5,111.5,-0.85
68.5,139.5,-45.775
-86.5,98.5,
-76.5,51.5,
29.5,87.5,-10.625
-87.5,-109.5,
48.5,115.5,-22.04954
78.5,-85.5,-32.8
37.5,-79.5,1.35
-85.5,-150.5,
20.5,73.5,22.7252
-78.5,-88.5,
62.5,-67.5,-24.3252
10.5,26.5,27.5496
41.5,126.5,-14.2004
-69.5,101.5,
61.5,40.5,-10.8999
71.5,-48.5,-18.9505
26.5,-104.5,13.3254
-35.5,144.5,25.8504
32.5,-98.5,7.725
68.5,72.5,-22.0254
22.5,48.5,17.975
-73.5,72.5,
-79.5,176.5,
32.5,-116.5,9.9
31.5,81.5,-12.025
-25.5,125.5,31.8996
-82.5,81.5,
56.5,122.5,-31.7
20.5,104.5,15.4755
71.5,-47.5,-19.6749
-74.5,110.5,
64.5,68.5,-22.4501
-76.5,-92.5,
-23.5,-62.5,27.5752
70.5,81.5,-20.7
56.5,121.5,-32.0246
27.5,-0.5,11.825
65.5,52.5,-17.40033
-86.5,-133.5,
38.5,77.5,-3.45
26.5,97.5,13.8505
-78.5,-19.5,
-0.5,22.5,25.700109
-77.5,-66.5,
51.5,-88.5,-23.07505
12.5,37.5,19.0495
28.5,93.5,0.95
51.5,96.5,-27.9998
50.5,-122.5,-6.8
71.5,140.5,-41.6
30.5,57.5,5.7
51.5,-111.5,-13.8246
-87.5,36.5,
54.5,-108.5,-18.1252
-78.5,-121.5,
8.5,45.5,21.4246
6.5,-9.5,25.02533
-88.5,-15.5,
62.5,134.5,-39.025
51.5,4.5,1.0503
26.5,-7.5,13.925
-82.5,-81.5,
-86.5,50.5,
49.5,-113.5,-5.75
44.5,119.5,-15.05
-78.5,-22.5,
27.5,60.5,13.175
-86.5,138.5,
-75.5,-20.5,
-78.5,36.5,
62.5,173.5,-24.9747
65.5,-108.5,-26.9245
